amount,merchant,country,card_last4,is_fraud
9930.83,utilities,FR,6242,1
376.24,grocery,DE,7724,0
1379.66,coffee-shop,NK,7606,1
122.27,ride-share,US,0742,0
123.14,ride-share,US,3846,0
55.99,ride-share,US,8850,0
297.42,coffee-shop,JP,1622,0
247.03,streaming,US,6070,0
178.99,coffee-shop,JP,1627,0
148.2,pharmacy,US,6523,0
387.35,ride-share,US,3475,0
239.66,grocery,US,5464,0
52.12,utilities,US,9080,0
87.95,coffee-shop,US,2417,0
239.2,streaming,JP,2370,0
217.01,coffee-shop,US,0422,0
144.58,coffee-shop,GB,0258,0
22.85,pharmacy,CA,1862,0
191.55,streaming,CA,1786,0
90.18,utilities,US,8543,0
258.05,grocery,US,7847,0
171.66,grocery,CA,7267,0
7967.25,streaming,US,2067,1
253.96,utilities,DE,6240,0
213.16,ride-share,CA,7048,0
281.31,pharmacy,DE,9033,0
87.58,ride-share,JP,6779,0
182.49,ride-share,DE,5120,0
266.71,streaming,AU,7770,0
4579.81,coffee-shop,JP,6105,1
223.44,utilities,AU,9202,0
50.65,streaming,JP,6929,0
288.98,streaming,GB,5761,0
203.95,coffee-shop,DE,3674,0
141.35,utilities,US,4564,0
323.27,utilities,AU,9121,0
121.11,streaming,IR,5567,1
74.2,coffee-shop,GB,6566,0
4558.01,gift-cards,CA,6163,1
137.68,streaming,US,5314,0
227.9,grocery,JP,2549,0
247.9,pharmacy,US,7259,0
195.29,ride-share,CA,3531,0
47.3,ride-share,US,9717,0
267.52,grocery,US,9819,0
858.34,luxury-goods,AU,2248,1
117.2,grocery,US,7055,0
153.32,pharmacy,US,9154,0
322.87,grocery,US,0693,0
184.98,grocery,JP,9433,0
162.96,pharmacy,CA,1887,0
386.55,coffee-shop,FR,7538,0
368.07,grocery,CA,1734,0
236.37,utilities,US,5083,0
90.19,coffee-shop,US,1868,0
79.17,streaming,US,2419,0
60.28,coffee-shop,US,2504,0
262.89,coffee-shop,AU,8095,0
226.37,utilities,CA,9248,0
394.64,streaming,JP,5179,0
29.18,ride-share,GB,4500,0
142.07,grocery,US,7404,0
1261.01,grocery,NK,9733,1
186.16,utilities,AU,0672,0
324.31,pharmacy,US,9912,0
62.04,grocery,CA,5626,0
35.56,pharmacy,US,4059,0
396.41,utilities,GB,2600,0
367.34,ride-share,CA,5543,0
22.84,pharmacy,DE,1079,0
224.07,ride-share,US,9874,0
134.68,utilities,DE,5731,0
263.11,pharmacy,US,9749,0
35.72,utilities,US,5381,0
268.71,pharmacy,AU,8624,0
268.84,utilities,US,5940,0
380.57,streaming,AU,7967,0
399.99,coffee-shop,US,1657,0
216.83,pharmacy,JP,0618,0
350.8,utilities,US,6172,0
73.98,pharmacy,FR,2712,0
19.39,streaming,DE,3891,0
245.02,pharmacy,FR,3833,0
125.17,ride-share,AU,3178,0
378.96,ride-share,CA,4616,0
202.16,ride-share,AU,3271,0
57.08,streaming,US,7873,0
222.71,grocery,DE,8452,0
115.46,coffee-shop,US,8410,0
176.11,coffee-shop,FR,5727,0
167.13,ride-share,CA,3862,0
34.48,coffee-shop,US,1623,0
260.68,coffee-shop,US,4700,0
190.04,coffee-shop,FR,7685,0
4.09,grocery,US,3533,0
220.42,pharmacy,GB,6934,0
116.66,streaming,US,3906,0
317.97,ride-share,US,8189,0
8.54,utilities,GB,2352,0
2.62,streaming,US,6825,0
267.95,utilities,AU,1108,0
218.54,utilities,GB,6397,0
19.33,ride-share,AU,4155,0
144.12,grocery,US,1698,0
294.6,streaming,US,5772,0
325.78,coffee-shop,JP,7612,0
192.46,coffee-shop,FR,1033,0
377.55,grocery,US,0717,0
354.54,streaming,AU,8444,0
326.53,ride-share,US,3131,0
345.13,grocery,JP,5438,0
320.14,ride-share,JP,7204,0
155.88,coffee-shop,CA,8151,0
319.32,streaming,FR,6955,0
1431.86,crypto-exchange,US,1311,1
119.66,ride-share,GB,6981,0
178.68,ride-share,US,5776,0
175.11,pharmacy,AU,0939,0
9812.98,gift-cards,NK,0510,1
243.81,ride-share,US,1101,0
258.77,streaming,US,9293,0
1745.8,crypto-exchange,GB,7273,1
230.42,utilities,US,5150,0
101.35,grocery,US,3048,0
156.02,utilities,US,4264,0
87.4,utilities,US,8047,0
56.02,grocery,CA,7292,0
324.58,streaming,DE,1063,0
117.56,streaming,JP,2852,0
204.48,grocery,AU,2275,0
198.62,streaming,GB,6044,0
393.24,coffee-shop,GB,1412,0
19993.52,gift-cards,IR,8612,1
164.95,utilities,US,5194,0
181.09,pharmacy,CA,2102,0
312.54,pharmacy,GB,2114,0
364.46,grocery,JP,8488,0
67.53,streaming,AU,3694,0
376.48,streaming,JP,4105,0
382.63,streaming,US,4961,0
39.18,pharmacy,US,9513,0
264.18,pharmacy,AU,5531,0
226.32,grocery,US,9449,0
85.9,utilities,CA,0496,0
251.61,streaming,DE,4949,0
322.27,pharmacy,CA,7430,0
5539.59,luxury-goods,DE,7609,1
243.45,streaming,JP,5231,0
344.59,ride-share,US,6070,0
44.26,coffee-shop,CA,4382,0
58.07,grocery,US,6293,0
168.42,coffee-shop,FR,9464,0
77.55,coffee-shop,CA,8433,0
351.87,ride-share,US,6442,0
386.74,coffee-shop,GB,0797,0
13560.3,gift-cards,IR,4681,1
339.17,ride-share,US,4333,0
306.01,streaming,US,0838,0
79.47,utilities,US,6329,0
306.23,streaming,JP,1946,0
40.48,streaming,FR,5555,0
147.51,coffee-shop,US,8341,0
18.02,grocery,US,5456,0
208.69,coffee-shop,GB,8446,0
372.68,streaming,US,4902,0
203.91,utilities,GB,9222,0
326.67,streaming,US,1795,0
234.31,pharmacy,JP,0436,0
107.68,pharmacy,FR,9477,0
289.12,utilities,CA,8589,0
248.65,ride-share,US,3968,0
6023.61,crypto-exchange,GB,6861,1
276.82,ride-share,CA,7726,0
294.86,grocery,DE,8498,0
131.37,pharmacy,CA,6173,0
70.93,utilities,US,5804,0
347.33,pharmacy,DE,4331,0
78.52,coffee-shop,US,4890,0
389.22,streaming,FR,3396,0
196.62,ride-share,US,4480,0
230.24,utilities,US,6464,0
381.93,coffee-shop,US,4712,0
33.45,ride-share,DE,7849,0
331.52,streaming,AU,4450,0
247.04,utilities,US,0831,0
213.35,pharmacy,US,1641,0
287.51,grocery,DE,2252,0
1106.23,crypto-exchange,DE,3267,1
116.32,streaming,DE,1465,0
94.42,pharmacy,DE,0611,0
71.68,coffee-shop,AU,0595,0
160.0,ride-share,US,4742,0
5.69,utilities,GB,5489,0
395.66,utilities,GB,2198,0
188.27,coffee-shop,FR,5417,0
184.65,streaming,DE,0230,0
316.73,utilities,DE,3164,0
342.75,ride-share,JP,8442,0
161.53,grocery,US,2303,0
374.46,grocery,US,3858,0
108.26,streaming,US,9386,0
1063.73,grocery,NK,7625,1
163.36,utilities,AU,5095,0
256.21,streaming,US,3618,0
55.16,coffee-shop,CA,9924,0
281.37,ride-share,FR,3578,0
272.78,utilities,JP,1341,0
212.21,streaming,US,9243,0
331.85,utilities,US,8792,0
132.59,utilities,CA,3365,0
196.55,utilities,CA,0911,0
206.27,ride-share,GB,9155,0
323.15,pharmacy,US,4169,0
298.83,utilities,US,6941,0
27.38,grocery,AU,1130,0
189.88,streaming,CA,2218,0
391.38,pharmacy,AU,6135,0
154.23,ride-share,US,8835,0
344.39,grocery,US,8802,0
52.68,coffee-shop,JP,0372,0
186.28,pharmacy,GB,8715,0
93.41,ride-share,US,4516,0
350.33,grocery,US,6868,0
374.62,grocery,US,1102,0
15.36,utilities,DE,0797,0
19.61,ride-share,US,3559,0
310.87,coffee-shop,CA,4739,0
366.73,utilities,US,9796,0
327.72,coffee-shop,US,2347,0
209.46,ride-share,US,0998,0
237.48,pharmacy,AU,6999,0
20.66,streaming,AU,6244,0
128.86,ride-share,CA,4913,0
302.26,ride-share,US,3692,0
283.62,ride-share,AU,9214,0
167.77,utilities,US,3978,0
133.44,grocery,AU,6079,0
290.38,coffee-shop,US,6179,0
241.96,grocery,US,9626,0
224.42,ride-share,US,5455,0
363.78,coffee-shop,AU,1922,0
302.22,coffee-shop,DE,3350,0
97.25,streaming,FR,6236,0
260.19,streaming,US,8401,0
187.47,pharmacy,CA,5246,0
149.54,ride-share,US,3625,0
8.46,utilities,AU,9488,0
119.49,coffee-shop,US,6223,0
99.8,utilities,DE,5530,0
328.99,pharmacy,DE,8037,0
293.64,streaming,US,8954,0
366.93,utilities,AU,0962,0
335.95,grocery,AU,0794,0
166.13,pharmacy,US,2474,0
9971.21,gift-cards,IR,7993,1
4189.62,gift-cards,IR,8777,1
8.82,pharmacy,DE,2937,0
40.33,coffee-shop,US,8625,0
143.07,ride-share,US,6652,0
98.8,pharmacy,US,1320,0
343.57,grocery,US,6213,0
191.45,pharmacy,US,2807,0
338.44,pharmacy,FR,9270,0
389.59,utilities,AU,3764,0
347.51,utilities,CA,0762,0
274.4,streaming,JP,9232,0
73.38,streaming,US,3394,0
301.4,pharmacy,JP,1260,0
226.46,utilities,JP,6375,0
217.14,ride-share,FR,2292,0
276.35,grocery,CA,5666,0
7714.3,luxury-goods,IR,9915,1
382.03,ride-share,AU,5347,0
1192.64,ride-share,IR,3737,1
376.57,ride-share,US,9598,0
36.11,utilities,US,4037,0
34.65,coffee-shop,US,2527,0
128.04,grocery,US,5050,0
305.02,grocery,US,3070,0
223.68,utilities,CA,0430,0
222.58,utilities,GB,5315,0
6.91,ride-share,US,1387,0
224.7,coffee-shop,GB,2778,0
69.46,streaming,US,8079,0
68.55,streaming,CA,7933,0
145.73,coffee-shop,DE,8123,0
79.83,grocery,US,0110,0
134.22,utilities,US,5399,0
173.39,pharmacy,AU,2230,0
242.08,pharmacy,US,5147,0
160.5,streaming,US,8044,0
313.23,streaming,US,6437,0
372.96,coffee-shop,GB,8939,0
307.51,grocery,AU,7563,0
85.44,streaming,JP,1133,0
318.67,ride-share,DE,2280,0
98.32,pharmacy,US,6932,0
31.44,utilities,CA,6566,0
369.55,pharmacy,CA,0602,0
145.09,utilities,GB,1392,0
100.8,pharmacy,US,0725,0
258.72,pharmacy,US,5432,0
173.32,grocery,US,3637,0
208.48,utilities,DE,3621,0
157.67,pharmacy,GB,8199,0
399.09,ride-share,US,6815,0
36.17,pharmacy,US,5110,0
314.14,utilities,CA,7801,0
289.35,ride-share,US,4919,0
3534.26,pharmacy,JP,1791,1
67.41,pharmacy,US,2858,0
133.73,ride-share,AU,3798,0
252.64,coffee-shop,DE,7080,0
295.48,coffee-shop,CA,7037,0
282.48,coffee-shop,US,1025,0
320.2,utilities,US,5340,0
47.35,pharmacy,JP,8646,0
126.73,ride-share,GB,9617,0
142.09,ride-share,GB,4873,0
236.89,pharmacy,US,1931,0
48.55,streaming,DE,8369,0
239.38,utilities,US,3043,0
215.88,pharmacy,AU,2838,0
196.88,coffee-shop,US,7389,0
346.48,grocery,CA,3196,0
385.6,utilities,DE,6703,0
167.42,ride-share,CA,1354,0
318.76,coffee-shop,US,4503,0
116.89,ride-share,GB,8115,0
47.06,grocery,US,8898,0
148.01,grocery,FR,7231,0
395.93,grocery,DE,4055,0
399.73,ride-share,US,1425,0
397.6,coffee-shop,US,9632,0
344.7,utilities,GB,2719,0
314.37,coffee-shop,FR,9340,0
113.87,utilities,US,4794,0
108.4,utilities,AU,1560,0
300.54,ride-share,AU,4543,0
52.5,coffee-shop,US,5277,0
305.07,pharmacy,US,2329,0
108.95,ride-share,US,1237,0
352.29,grocery,CA,4558,0
351.17,ride-share,AU,5362,0
347.83,pharmacy,US,7511,0
279.52,grocery,FR,6516,0
173.0,coffee-shop,CA,5289,0
136.43,utilities,US,7951,0
357.87,grocery,US,7529,0
1187.02,luxury-goods,DE,3314,1
363.94,pharmacy,US,4489,0
145.45,grocery,US,2711,0
1110.9,coffee-shop,IR,1494,1
2.43,ride-share,US,9726,0
272.63,grocery,US,5629,0
395.29,ride-share,DE,7826,0
5429.3,luxury-goods,NK,5133,1
121.1,ride-share,FR,2181,0
271.5,grocery,GB,0138,0
67.32,streaming,DE,2480,0
247.2,ride-share,JP,1420,0
57.73,grocery,GB,6291,0
172.9,coffee-shop,US,1380,0
241.2,pharmacy,GB,0439,0
264.05,streaming,US,9943,0
299.64,streaming,DE,3921,0
46.87,ride-share,GB,1163,0
391.12,streaming,AU,2162,0
335.91,ride-share,US,2830,0
381.87,grocery,US,1106,0
243.59,luxury-goods,AU,6520,1
252.17,utilities,FR,6939,0
34.81,utilities,GB,2501,0
125.34,utilities,AU,2545,0
157.51,pharmacy,FR,1083,0
176.12,coffee-shop,US,1412,0
48.16,utilities,GB,5067,0
263.9,coffee-shop,US,2248,0
67.21,streaming,GB,4247,0
52.52,streaming,DE,1934,0
13.68,ride-share,US,1046,0
390.07,pharmacy,US,7457,0
24.06,utilities,US,2577,0
42.96,utilities,DE,1889,0
204.51,grocery,JP,0201,0
189.76,ride-share,AU,2932,0
343.28,utilities,FR,6870,0
100.81,pharmacy,US,1276,0
49.52,pharmacy,AU,2938,0
207.28,grocery,AU,1129,0
346.68,streaming,US,9061,0
148.83,streaming,GB,4979,0
98.55,streaming,GB,8083,0
310.8,pharmacy,AU,4016,0
373.09,grocery,US,5675,0
278.0,grocery,AU,0023,0
151.76,pharmacy,DE,1703,0
393.28,ride-share,CA,0981,0
58.66,streaming,US,3792,0
208.86,pharmacy,JP,7511,0
35.79,grocery,CA,6461,0
9637.75,streaming,CA,4778,1
127.37,ride-share,DE,5345,0
110.24,grocery,AU,2230,0
234.71,coffee-shop,US,7365,0
163.79,utilities,US,3401,0
186.41,grocery,US,4984,0
279.36,grocery,US,5370,0
285.04,streaming,US,0802,0
105.55,coffee-shop,US,6625,0
223.27,utilities,US,7570,0
317.94,grocery,US,3641,0
329.82,streaming,DE,1376,0
105.01,grocery,US,1056,0
259.1,coffee-shop,US,5432,0
377.03,grocery,US,9402,0
290.32,ride-share,US,6990,0
87.46,coffee-shop,US,7307,0
15.79,utilities,GB,4835,0
353.35,ride-share,US,4583,0
168.86,pharmacy,JP,8614,0
397.65,utilities,FR,6266,0
144.93,utilities,FR,5636,0
201.95,ride-share,US,0427,0
89.17,streaming,US,7728,0
307.2,coffee-shop,AU,1640,0
97.98,utilities,FR,0916,0
379.23,utilities,JP,6363,0
336.01,coffee-shop,US,9707,0
295.77,streaming,AU,0462,0
141.97,utilities,GB,9225,0
335.01,ride-share,GB,2876,0
37.92,coffee-shop,GB,0326,0
2.27,utilities,US,2137,0
72.63,streaming,US,2420,0
367.06,grocery,JP,5978,0
150.69,pharmacy,US,1655,0
130.4,coffee-shop,DE,7157,0
384.34,pharmacy,US,9207,0
371.68,streaming,US,9649,0
152.6,pharmacy,DE,2086,0
2.72,pharmacy,AU,6415,0
308.79,utilities,US,9869,0
323.91,utilities,US,9265,0
199.48,streaming,FR,3899,0
129.17,pharmacy,JP,1453,0
268.67,pharmacy,JP,7317,0
736.42,luxury-goods,GB,4205,1
288.72,grocery,US,6875,0
354.05,ride-share,JP,5754,0
42.37,ride-share,FR,9470,0
275.49,coffee-shop,CA,0547,0
128.85,grocery,US,2787,0
66.04,grocery,GB,1525,0
394.14,ride-share,DE,7066,0
67.67,ride-share,US,1659,0
389.81,ride-share,DE,8849,0
114.05,coffee-shop,US,6437,0
336.26,coffee-shop,US,0062,0
119.23,pharmacy,GB,7869,0
12.24,coffee-shop,GB,1342,0
47.97,ride-share,CA,4341,0
218.56,coffee-shop,US,6249,0
179.42,streaming,CA,4315,0
108.89,grocery,US,1584,0
138.83,utilities,CA,9662,0
26.27,ride-share,FR,6858,0
275.45,ride-share,GB,3860,0
33.42,pharmacy,US,9358,0
320.58,pharmacy,AU,2415,0
303.36,coffee-shop,AU,2738,0
323.77,coffee-shop,US,1283,0
175.29,pharmacy,US,9749,0
364.5,grocery,US,9115,0
131.8,streaming,CA,0202,0
249.98,utilities,FR,1843,0
60.98,utilities,GB,1641,0
225.95,grocery,FR,8775,0
351.4,streaming,US,7955,0
190.27,coffee-shop,US,2356,0
272.96,ride-share,US,5431,0
21.62,ride-share,AU,6102,0
521.55,ride-share,NK,3734,1
389.74,ride-share,FR,5257,0
167.88,pharmacy,US,7237,0
329.94,pharmacy,CA,8462,0
328.76,utilities,FR,1075,0
203.7,coffee-shop,FR,8589,0
13.52,coffee-shop,JP,3288,0
101.3,ride-share,US,5904,0
111.04,ride-share,CA,2029,0
98.29,ride-share,GB,2909,0
190.88,utilities,US,2679,0
104.95,pharmacy,US,0449,0
66.84,utilities,FR,3511,0
259.66,pharmacy,US,6709,0
346.12,pharmacy,US,2167,0
241.25,grocery,US,9967,0
123.57,pharmacy,DE,6943,0
340.93,ride-share,US,7646,0
209.21,utilities,US,1676,0
877.27,utilities,IR,4890,1
193.73,streaming,AU,5327,0
105.94,pharmacy,AU,4895,0
207.88,coffee-shop,JP,9830,0
129.2,coffee-shop,DE,8148,0
105.25,ride-share,CA,0578,0
397.91,coffee-shop,US,3643,0
256.05,ride-share,AU,5873,0
338.48,pharmacy,JP,2967,0
189.37,pharmacy,US,9159,0
74.86,pharmacy,JP,1463,0
90.88,streaming,CA,5428,0
235.06,ride-share,JP,7709,0
10188.85,ride-share,FR,1963,1
153.9,streaming,CA,2470,0
81.72,ride-share,AU,7496,0
345.23,coffee-shop,FR,7988,0
394.68,streaming,GB,0077,0
85.33,coffee-shop,GB,2595,0
305.9,grocery,US,7105,0
162.55,ride-share,US,0618,0
292.8,grocery,JP,8700,0
271.35,pharmacy,DE,3707,0
139.05,coffee-shop,US,8246,0
68.47,grocery,US,4764,0
209.07,utilities,US,2192,0
360.75,streaming,FR,2701,0
367.45,ride-share,US,3675,0
54.22,pharmacy,US,8267,0
147.9,pharmacy,FR,6147,0
103.8,utilities,GB,9730,0
265.46,pharmacy,JP,0790,0
167.88,ride-share,US,4140,0
62.94,pharmacy,DE,0152,0
265.34,pharmacy,GB,9922,0
168.69,grocery,CA,1928,0
314.33,ride-share,US,3272,0
332.94,coffee-shop,US,6713,0
17.68,ride-share,AU,7875,0
3.09,pharmacy,US,1809,0
268.27,coffee-shop,AU,8383,0
16590.73,ride-share,DE,4850,1
21.93,coffee-shop,JP,4760,0
271.35,ride-share,DE,1556,0
356.34,grocery,JP,2793,0
358.02,utilities,US,1522,0
138.4,grocery,CA,7479,0
155.51,ride-share,FR,2732,0
279.08,grocery,AU,2611,0
364.67,ride-share,FR,7178,0
153.14,streaming,GB,2140,0
196.27,ride-share,CA,1037,0
127.07,pharmacy,JP,8598,0
231.51,utilities,US,5542,0
275.92,utilities,US,4072,0
266.16,pharmacy,US,9147,0
245.94,grocery,DE,2571,0
188.78,ride-share,JP,1226,0
129.61,streaming,AU,0824,0
221.1,ride-share,CA,3850,0
16820.18,crypto-exchange,NK,8166,1
49.25,ride-share,FR,0291,0
166.11,utilities,GB,1489,0
385.34,pharmacy,US,8328,0
262.53,ride-share,AU,5953,0
327.0,ride-share,US,9829,0
263.55,pharmacy,CA,1596,0
90.26,streaming,US,4783,0
150.81,grocery,US,2689,0
329.09,pharmacy,DE,1752,0
79.98,grocery,AU,6437,0
330.17,coffee-shop,DE,1765,0
20.51,pharmacy,JP,9647,0
356.92,ride-share,DE,8260,0
200.53,utilities,DE,9064,0
335.85,ride-share,AU,2903,0
71.11,coffee-shop,US,9839,0
130.09,ride-share,CA,9977,0
305.43,streaming,US,5617,0
182.23,coffee-shop,US,9871,0
299.87,streaming,JP,8975,0
285.33,utilities,GB,3291,0
286.33,pharmacy,US,2173,0
260.73,coffee-shop,CA,5281,0
304.79,utilities,CA,9349,0
284.63,pharmacy,FR,8747,0
339.23,grocery,GB,0414,0
23.12,grocery,US,2636,0
273.99,coffee-shop,JP,4835,0
217.39,streaming,FR,1679,0
270.86,utilities,JP,9195,0
205.35,pharmacy,US,0769,0
156.25,pharmacy,US,9046,0
368.38,ride-share,NK,6025,1
219.55,utilities,US,3170,0
72.62,pharmacy,US,2847,0
49.5,grocery,CA,9119,0
66.05,streaming,US,7640,0
63.61,coffee-shop,AU,9779,0
776.58,utilities,IR,1194,1
128.51,coffee-shop,AU,8529,0
1127.44,gift-cards,DE,1506,1
353.59,pharmacy,US,5911,0
380.22,utilities,GB,9196,0
392.49,grocery,US,5668,0
361.99,utilities,AU,3994,0
273.66,streaming,US,1857,0
217.01,streaming,US,8468,0
151.23,utilities,CA,0718,0
261.31,streaming,CA,1572,0
382.6,utilities,GB,1072,0
252.55,coffee-shop,JP,6950,0
83.82,pharmacy,JP,7130,0
376.02,pharmacy,DE,0389,0
134.02,grocery,US,2916,0
224.12,utilities,JP,4237,0
181.55,ride-share,CA,0276,0
49.09,grocery,DE,1036,0
235.07,pharmacy,JP,5860,0
44.24,pharmacy,US,1417,0
370.82,ride-share,US,0504,0
214.32,coffee-shop,FR,8941,0
254.35,streaming,DE,6113,0
